district_code,score_math,female_pct,ell_pct,low_income_pct,stratio
2130000,506.0,48.0,5.0,10.0,13.0
2140000,497.0,49.0,2.0,27.0,13.0
8530000,487.075830050442,47.0,4.0,34.0,11.0
8510000,490.38572454735623,37.459573984655144,0.0,31.0,12.0
2180000,499.0,49.0,1.0,17.0,14.0
2190000,508.0,48.0,0.0,4.0,13.0
2200000,501.0,49.0,10.0,24.0,13.0
2210000,497.0,51.0,19.0,24.0,9.0
8550000,493.6956190442705,38.0,0.0,15.0,10.0
7400000,506.0,50.0,0.0,12.0,14.0
35150000,495.0,46.0,6.0,28.0,15.0
2230000,485.0,46.0,1.0,54.0,14.0
2240000,510.0,48.0,8.0,24.0,9.0
2260000,494.0,48.0,0.0,32.0,13.0
2270000,491.0,50.0,2.0,39.0,12.0
8600000,489.59765442904336,38.0,0.0,35.0,9.0
35010000,482.9778654352149,55.0,13.0,72.0,11.0
2290000,495.0,49.0,7.0,28.0,13.0
2300000,510.0,48.0,1.0,21.0,11.0
2310000,504.0,48.0,1.0,12.0,14.0
7450000,494.0,47.0,0.0,11.0,12.0
2340000,484.0,49.0,1.0,21.0,11.0
35080000,478.72228679632514,47.0,27.0,78.75202085609575,16.0
4930000,498.82066045450955,44.0,33.68708970088926,48.0,14.0
4940000,504.0,53.0,26.0,37.0,10.0
35060000,514.0,53.0,23.0,25.0,10.0
7500000,497.0,50.0,0.0,23.0,12.0
4970000,508.0,53.0,3.0,14.0,8.0
4790000,500.0,60.619438361023875,1.0,21.0,9.0
2360000,491.0,49.0,4.0,50.0,11.0
2380000,501.0,48.0,4.0,16.0,13.0
2390000,497.0,48.0,1.0,23.0,12.0
2400000,504.0,50.0,0.0,18.0,11.0
4870000,492.0,49.0,11.0,38.0,11.0
2420000,496.0,52.0,18.0,30.0,7.0
7530000,497.0,51.0,0.0,25.0,15.0
7780000,498.0,49.0,2.0,35.0,13.0
2430000,502.0,48.0,15.0,35.0,13.0
7550000,496.0,52.0,1.0,37.0,13.0
2440000,494.0,45.0,18.0,45.0,11.0
2460000,506.0,48.0,1.0,8.0,13.0
2480000,496.0,49.0,23.0,45.0,14.0
2490000,501.0,53.0,0.0,18.0,8.0
4830000,503.0,50.0,0.0,9.0,11.0
4820000,500.0,59.0,0.0,7.0,14.0
2500000,503.0,47.0,1.0,13.0,13.0
2510000,496.0,49.0,6.0,33.0,13.0
2520000,499.0,48.0,1.0,16.0,10.0
2530000,501.0,50.0,0.0,28.0,8.0
4840000,497.0,50.0,22.0,55.0,12.0
4410000,487.0,50.0,4.0,35.0,19.20881711469176
2580000,491.0,48.0,13.0,47.0,11.0
4850000,502.0,54.0,4.0,30.0,11.0
2610000,500.0,50.0,1.0,15.0,13.0
2620000,498.0,49.0,7.0,28.0,13.0
2630000,486.0,50.0,0.0,47.0,12.0
2640000,506.0,49.0,1.0,10.0,13.0
2650000,502.0,50.0,4.0,14.0,13.0
4860000,483.0,48.0,29.0,59.0,19.20881711469176
2660000,515.0,48.0,4.0,7.0,14.0
8710000,493.0651629496202,42.0,0.0,14.0,10.0
2690000,512.0,48.0,2.0,5.0,13.0
2710000,510.0,50.0,4.0,10.0,15.0
2720000,503.0,56.0,0.0,32.0,8.0
4770000,499.0,51.0,7.0,28.0,12.0
7600000,505.0,48.0,0.0,16.0,13.0
4740000,485.0,49.0,1.0,32.0,9.0
2730000,499.0,48.0,1.0,22.0,13.0
7630000,502.0491622983874,51.0,0.0,14.0,13.0
2740000,496.0,47.0,21.0,41.0,12.0
2780000,497.0,51.0,4.0,25.0,13.0
8290000,487.3910580977672,41.0,10.0,39.0,9.0
4880000,490.0,51.0,14.0,16.0,11.0
8730000,490.70095259468144,37.459573984655144,0.0,22.0,10.0
2750000,497.0,48.0,2.0,12.0,14.0
2760000,517.0,49.0,6.0,4.0,14.0
2770000,479.0,49.0,27.0,69.0,13.0
8720000,485.4996898138162,49.0,1.0,34.0,12.0
7650000,494.0,48.0,2.0,32.0,10.0
8760000,491.6466367366569,41.0,0.0,22.0,10.0
7660000,495.0,49.0,2.0,21.0,12.0
7670000,493.0,46.0,4.0,35.0,12.0
2810000,486.0,48.0,18.0,75.0,13.0
35100000,513.0,49.0,23.0,68.0,12.0
2840000,501.0,51.0,4.0,17.0,12.0
2850000,499.0,48.0,6.0,28.0,12.0
2870000,507.0,44.0,1.0,16.0,13.0
4890000,502.0491622983874,58.0,0.0,14.0,10.0
2880000,512.0,48.0,2.0,5.0,13.0
2890000,500.0,42.0,8.0,31.0,10.0
2900000,501.0,51.0,1.0,9.0,14.0
2910000,503.0,49.0,4.0,14.0,12.0
2920000,498.0,48.0,0.0,19.0,13.0
39020000,483.0,58.0,1.0,41.0,19.20881711469176
7700000,502.0,50.0,0.0,18.0,13.0
2930000,491.0,49.0,5.0,43.0,15.0
2950000,500.0,49.0,2.0,14.0,13.0
2960000,509.0,47.0,25.0,25.0,8.0
2980000,505.0,51.0,0.0,5.0,12.0
8780000,495.5869873282215,43.0,0.0,18.0,12.0
7730000,498.0,49.0,1.0,19.0,12.0
3000000,493.0,56.0,0.0,28.0,7.0
3010000,500.0,48.0,2.0,13.0,13.0
4800000,491.0,49.0,26.0,63.0,12.0
35050000,484.0,49.0,27.0,62.0,13.0
7740000,506.0,45.0,5.0,18.0,9.0
8790000,495.4293733045589,38.0,0.0,22.0,10.0
3040000,497.0,47.0,2.0,20.0,13.0
4980000,499.0,53.0,10.0,68.0,12.0
7750000,506.0,50.0,2.0,9.0,15.0
3050000,502.0,49.0,2.0,13.0,13.0
3060000,503.0,44.0,0.0,26.0,14.0
3070000,507.0,50.0,3.0,9.0,13.0
3080000,497.0,47.0,23.0,32.0,11.0
3090000,489.0,49.0,1.0,50.0,13.0
3100000,489.0,48.0,1.0,50.0,12.0
3140000,495.0,49.0,12.0,24.0,10.0
3150000,514.0,49.0,4.0,6.0,13.0
3160000,483.0,49.0,8.0,51.0,13.0
3170000,511.0,51.0,2.0,6.0,13.0
3180000,505.0,50.0,2.0,33.0,8.0
3220000,503.0,51.0,4.0,20.0,11.0
3230000,499.0,51.0,1.0,15.0,15.0
3320000,498.0,48.0,12.0,46.0,13.0
3210000,513.0,50.0,10.0,8.0,12.0
3250000,498.0,49.0,6.0,36.0,13.0
3260000,513.0,49.0,1.0,6.0,14.0
3270000,510.0,46.0,1.0,15.0,9.0
3300000,514.0,49.0,3.0,5.0,12.0
3310000,501.0,45.0,1.0,23.0,13.0
3350000,511.0,49.0,1.0,5.0,13.0
3360000,496.0,49.0,4.0,27.0,14.0
3370000,499.0,51.0,4.0,20.0,11.0
7800000,496.0,49.0,1.0,18.0,16.0
8850000,491.17379466566916,45.0,1.0,29.0,11.0
