district_code,attendance,absences,absent_10_plus,chronically_absent_10_plus,unexcused_9,college_pct,in_school_susp,out_school_susp,expulsion,alternate_setting,emergency_removal,stud_african_american_pct,stud_asian_pct,stud_hispanic_pct,stud_white_pct,stud_amerind_pct,stud_pacisl_pct,stud_multi_pct,teach_exemplary_pct,teach_proficient_pct,teach_ni_pct,teach_unsat_pct,grad_pct,m_e_pct_ela,score_ela,m_e_pct_math,score_math,ppe,retained_pct,salary,sat_verbal,sat_math,classes,class_size,enrollment,female_pct,male_pct,ell_pct,disability_pct,low_income_pct,teach_african_american_pct,teach_asian_pct,teach_hispanic_pct,teach_white_pct,teach_amerind_pct,teach_pacisl_pct,teach_multi_pct,teach_female_pct,teach_male_pct,teach_licensed_pct,stratio,students,students_disciplined,pct_one_day,pct_two_days,pct_4_days,pct_8_days,pct_10_days,type,median_income
2260000,94,10,32,13,25,62,1,3,0,0,0,2,2,12,79,0,0,5,6,93,1,0,87,41,497,37,494,13790,94,68432,512,518,679,20,1709,48,52,0,16,32,1,0,1,97,0,0,0,80,20,98,13,1744,      70,2,1,1,0,0,District,33078
2270000,95,9,27,13,14,69,2,5,0,0,0,3,2,11,79,0,0,5,5,90,5,0,81,47,498,33,491,14586,81,67092,548,539,844,15,1415,50,50,2,20,39,0,0,1,97,0,0,1,83,17,100,12,1498,      97,3,2,2,0,0,District,28465
8600000,96,8,28,5,12,34,0,3,0,0,0,1,0,6,89,1,0,3,14,82,5,0,84,,,,,23502,80,74207,511,495,493,12,622,38,63,0,26,35,0,0,0,100,0,0,0,48,52,91,9,636,      21,1,2,1,0,0,Vocational Technical,
35010000,82,30,79,59,5,64,0,13,0,0,0,4,0,92,4,0,0,0,,,,,87,,,,,,47,,467,453,177,14,300,55,45,13,14,72,15,0,36,49,0,0,0,70,30,79,11,316,      42,7,1,2,1,3,Charter,
2290000,94,11,40,18,38,71,2,1,0,0,0,4,2,15,78,0,0,2,12,87,0,0,83,46,498,42,495,14582,93,79011,531,531,2748,18,5938,49,51,7,20,28,0,0,1,99,0,0,0,80,20,99,13,6217,     177,1,1,1,0,0,District,31925
2300000,96,7,28,3,1,,,,,,,4,2,11,77,0,0,5,21,75,4,0,,65,509,75,510,17186,81,65645,,,42,18,127,48,52,1,26,21,4,0,11,85,0,0,0,83,17,98,11,127,       4,,,,,,District,
2310000,93,12,55,21,0,84,0,1,0,0,0,1,1,0,96,0,0,2,11,85,4,1,98,56,502,60,504,13402,91,78961,568,575,1294,18,2888,48,52,1,14,12,0,0,0,100,0,0,0,85,15,100,14,2935,      16,0,0,0,0,0,District,38250
7450000,95,9,32,8,4,87,1,2,0,0,0,1,1,5,92,0,0,2,21,78,1,0,95,49,499,38,494,15194,90,75336,576,585,1061,17,2476,47,53,0,20,11,0,0,1,99,0,0,1,82,18,99,12,2523,      52,1,0,0,0,0,District,39296
2340000,99,2,0,0,0,,4,3,0,0,0,0,1,6,90,0,0,4,21,71,7,0,,43,496,26,484,14784,83,53911,,,48,17,115,49,51,1,26,21,0,0,0,100,0,0,0,89,11,81,11,116,       8,5,1,1,0,0,District,
35080000,59,53,93,92,55,47,0,16,0,0,0,18,1,70,9,0,0,3,,,,,19,,,,,,56,,456,426,42,18,154,47,53,27,25,81,44,7,17,32,0,0,0,76,24,90,16,248,      40,0,3,5,1,7,Charter,
4930000,58,59,92,92,60,44,0,14,0,0,0,14,0,79,6,1,0,0,0,38,63,0,10,,,,,,69,,,,51,16,169,44,56,61,10,48,16,7,18,59,0,0,0,64,36,64,14,247,      35,2,3,3,1,6,Charter,
4940000,97,6,19,3,3,91,2,1,0,0,0,26,8,29,34,2,0,1,,,,,94,61,504,62,504,,65,,548,599,276,20,679,53,47,26,9,37,4,3,3,90,0,0,0,72,28,71,10,697,      14,0,1,0,0,0,Charter,
35060000,99,3,5,2,0,100,2,3,0,0,0,33,14,24,28,0,0,2,,,,,97,69,506,79,514,,69,,583,649,167,18,362,53,47,23,12,25,4,14,6,73,0,0,2,49,51,66,10,380,      17,1,3,1,0,0,Charter,
7500000,96,7,25,7,9,73,3,1,0,0,0,0,0,2,94,0,0,4,17,68,8,7,94,50,500,46,497,20147,75,62344,536,527,453,13,797,50,50,0,17,23,0,0,1,99,0,0,0,88,12,98,12,814,      24,2,0,1,0,0,District,33849
4970000,95,9,30,7,5,,,,,,,8,18,7,52,0,0,15,,,,,100,72,513,67,508,,72,,623,624,265,17,493,53,47,3,6,14,2,44,0,53,0,0,1,81,19,71,8,498,       4,,,,,,Charter,
